GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ESA001
"G1100010000202402","1990","DC","99","9999","9999","9999","99","9","402","4","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000014","0000000000","Block 402","S","+38904350","-077066920",,2
"G1100010000202403","1990","DC","99","9999","9999","9999","99","9","403","4","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000006","0000000000","Block 403","S","+38904400","-077068474",,0
"G1100010000202405","1990","DC","99","9999","9999","9999","99","9","405","4","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000010","0000000000","Block 405","S","+38903297","-077065579",,54
"G1100010000202406","1990","DC","99","9999","9999","9999","99","9","406","4","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000004","0000000000","Block 406","S","+38903650","-077064574",,108
"G1100010000202407","1990","DC","99","9999","9999","9999","99","9","407","4","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000005","0000000000","Block 407","S","+38903650","-077063374",,18
"G1100010000202408","1990","DC","99","9999","9999","9999","99","9","408","4","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000006","0000000000","Block 408","S","+38903250","-077063349",,52
"G1100010000202501","1990","DC","99","9999","9999","9999","99","9","501","5","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000019","0000000000","Block 501","S","+38906950","-077067024",,55
"G1100010000202502","1990","DC","99","9999","9999","9999","99","9","502","5","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000013","0000000000","Block 502","S","+38906950","-077068499",,43
"G1100010000202503","1990","DC","99","9999","9999","9999","99","9","503","5","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000010","0000000000","Block 503","S","+38905950","-077068449",,47
"G1100010000202504","1990","DC","99","9999","9999","9999","99","9","504","5","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000015","0000000000","Block 504","S","+38905950","-077066999",,38
"G1100010000202505","1990","DC","99","9999","9999","9999","99","9","505","5","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000008","0000000000","Block 505","S","+38905200","-077066528",,36
"G1100010000202506","1990","DC","99","9999","9999","9999","99","9","506","5","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000006","0000000000","Block 506","S","+38905100","-077067471",,24
"G1100010000202507","1990","DC","99","9999","9999","9999","99","9","507","5","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000008","0000000000","Block 507","S","+38905100","-077068449",,25
"G1100010000202601","1990","DC","99","9999","9999","9999","99","9","601","6","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 601","S","+38908000","-077069824",,48
"G1100010000202602","1990","DC","99","9999","9999","9999","99","9","602","6","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 602","S","+38908000","-077071124",,25
"G1100010000202603","1990","DC","99","9999","9999","9999","99","9","603","6","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000015","0000000000","Block 603","S","+38906900","-077071074",,11
"G1100010000202604","1990","DC","99","9999","9999","9999","99","9","604","6","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000014","0000000000","Block 604","S","+38906950","-077069749",,36
"G1100010000202605","1990","DC","99","9999","9999","9999","99","9","605","6","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 605","S","+38905950","-077069674",,4
"G1100010000202606","1990","DC","99","9999","9999","9999","99","9","606","6","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000010","0000000000","Block 606","S","+38905950","-077070999",,22
"G1100010000202607","1990","DC","99","9999","9999","9999","99","9","607","6","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000019","0000000000","Block 607","S","+38905300","-077073351",,5
"G1100010000202609","1990","DC","99","9999","9999","9999","99","9","609","6","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000137","0000000000","Block 609","S","+38904129","-077074058",,20
"G1100010000310101","1990","DC","99","9999","9999","9999","99","9","101","1","000310","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000036","0000000000","Block 101","S","+38920300","-077072662",,163
"G1100010000310102","1990","DC","99","9999","9999","9999","99","9","102","1","000310","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000011","0000000000","Block 102","S","+38919200","-077071642",,43
"G1100010000310103","1990","DC","99","9999","9999","9999","99","9","103","1","000310","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000080","0000000000","Block 103","S","+38917450","-077070853",,101
