blk2000gj,blk2000ge,blk2010gj,blk2010ge,parea,weight
G11000100002024003,110010002024003,G11000100002024024,110010002024024,0,0
G11000100002024003,110010002024003,G11000100002024025,110010002024025,1,1
G11000100002024004,110010002024004,G11000100002024013,110010002024013,0.100463392,0.100463392
G11000100002024004,110010002024004,G11000100002024017,110010002024017,0.899536608,0.899536608
G11000100002024004,110010002024004,G11000100002024034,110010002024034,0,0
G11000100002024005,110010002024005,G11000100002024006,110010002024006,1,1
G11000100002024006,110010002024006,G11000100002024005,110010002024005,1,1
G11000100002024007,110010002024007,G11000100002024002,110010002024002,1,1
G11000100002024008,110010002024008,G11000100002024001,110010002024001,1,1
G11000100002024009,110010002024009,G11000100002024000,110010002024000,1,1
G11000100002024010,110010002024010,G11000100002024003,110010002024003,1,1
G11000100002024011,110010002024011,G11000100002024004,110010002024004,1,1
G11000100002024012,110010002024012,G11000100002024014,110010002024014,0.8566189952,0.8566189952
G11000100002024012,110010002024012,G11000100002024015,110010002024015,0,0
G11000100002024012,110010002024012,G11000100002024016,110010002024016,0.1433810048,0.1433810048
G11000100002024013,110010002024013,G11000100002024008,110010002024008,0.1114403818,0
G11000100002024013,110010002024013,G11000100002024009,110010002024009,0,0
G11000100002024013,110010002024013,G11000100002024010,110010002024010,0,0
G11000100002024013,110010002024013,G11000100002024011,110010002024011,0.1421993252,0
G11000100002024013,110010002024013,G11000100002024012,110010002024012,0.746360293,1
G11000100002024014,110010002024014,G11000100002024007,110010002024007,1,1
G11000100002024015,110010002024015,G11000100002024006,110010002024006,1,1
G11000100002024016,110010002024016,G11000100002024023,110010002024023,1,1
G11000100002024017,110010002024017,G11000100002024021,110010002024021,0.9629152875,0.9629152875
G11000100002024017,110010002024017,G11000100002024022,110010002024022,0.0370234155,0.0370234155
G11000100002024017,110010002024017,G11000100002024033,110010002024033,0.000061297,0.000061297
G11000100002024018,110010002024018,G11000100002024030,110010002024030,0.5711848139,0.4561403509
G11000100002024018,110010002024018,G11000100002024032,110010002024032,0.4288151861,0.5438596491
G11000100002024019,110010002024019,G11000100002024029,110010002024029,1,1
G11000100002024020,110010002024020,G11000100002024028,110010002024028,1,1
G11000100002024021,110010002024021,G11000100002024027,110010002024027,1,1
G11000100002024998,110010002024998,G11000100002024018,110010002024018,0.1148664143,0.1148664143
G11000100002024998,110010002024998,G11000100002024019,110010002024019,0.8851335857,0.8851335857
G11000100002024999,110010002024999,G11000100002024020,110010002024020,0.9999834242,0.9999834242
G11000100002024999,110010002024999,G11000100002024033,110010002024033,0.0000165758,0.0000165758
G11000100003001000,110010003001000,G11000100003001000,110010003001000,1,1
G11000100003001001,110010003001001,G11000100003001002,110010003001002,1,1
G11000100003001002,110010003001002,G11000100003001001,110010003001001,0.9408388996,0.8435114504
G11000100003001002,110010003001002,G11000100003001012,110010003001012,0.0591611004,0.1564885496
G11000100003001003,110010003001003,G11000100003001005,110010003001005,1,1
G11000100003001004,110010003001004,G11000100003001003,110010003001003,0.6041505043,0.6051873199
G11000100003001004,110010003001004,G11000100003001004,110010003001004,0.3958494957,0.3948126801
G11000100003001005,110010003001005,G11000100003001007,110010003001007,1,1
G11000100003001006,110010003001006,G11000100003001006,110010003001006,1,1
G11000100003001007,110010003001007,G11000100003001009,110010003001009,1,1
G11000100003001008,110010003001008,G11000100003001008,110010003001008,1,1
G11000100003001009,110010003001009,G11000100003001011,110010003001011,1,1
G11000100003001010,110010003001010,G11000100003001010,110010003001010,1,1
G11000100003003000,110010003003000,G11000100003003000,110010003003000,0.4967799763,0.5856697819
G11000100003003000,110010003003000,G11000100003003001,110010003003001,0.5032200237,0.4143302181
G11000100003003001,110010003003001,G11000100003003002,110010003003002,0.1028054881,0.048676345
G11000100003003001,110010003003001,G11000100003003003,110010003003003,0.3239152289,0.5072587532
G11000100003003001,110010003003001,G11000100003003005,110010003003005,0.1013443388,0.098206661
G11000100003003001,110010003003001,G11000100003003006,110010003003006,0.4028946222,0.3134073442
G11000100003003001,110010003003001,G11000100003003007,110010003003007,0.0524141524,0.0324508967
G11000100003003001,110010003003001,G11000100003003008,110010003003008,0.0166261696,0
G11000100003003002,110010003003002,G11000100003003004,110010003003004,1,1
G11000100003003003,110010003003003,G11000100003003010,110010003003010,1,1
G11000100003003004,110010003003004,G11000100003003011,110010003003011,1,1
G11000100003003005,110010003003005,G11000100003003012,110010003003012,1,1
G11000100003003006,110010003003006,G11000100003003009,110010003003009,1,1
G11000100003003007,110010003003007,G11000100003003013,110010003003013,1,1
G11000100003004000,110010003004000,G11000100003004000,110010003004000,1,1
G11000100003004001,110010003004001,G11000100003004001,110010003004001,1,1
G11000100003004002,110010003004002,G11000100003004002,110010003004002,1,1
G11000100003004003,110010003004003,G11000100003004008,110010003004008,1,1
G11000100003004004,110010003004004,G11000100003004003,110010003004003,1,1
G11000100003004005,110010003004005,G11000100003004004,110010003004004,1,1
G11000100003004006,110010003004006,G11000100003004005,110010003004005,1,1
G11000100003004007,110010003004007,G11000100003004006,110010003004006,1,1
G11000100003004008,110010003004008,G11000100003004011,110010003004011,1,1
G11000100003004009,110010003004009,G11000100003004007,110010003004007,1,1
G11000100003004010,110010003004010,G11000100003004009,110010003004009,1,1
G11000100003004011,110010003004011,G11000100003004010,110010003004010,1,1
G11000100003005000,110010003005000,G11000100003002000,110010003002000,1,1
G11000100003005001,110010003005001,G11000100003002001,110010003002001,1,1
G11000100003005002,110010003005002,G11000100003002002,110010003002002,1,1
G11000100003005003,110010003005003,G11000100003002003,110010003002003,1,1
G11000100003005004,110010003005004,G11000100003002004,110010003002004,1,1
G11000100003005005,110010003005005,G11000100003002005,110010003002005,1,1
G11000100003005006,110010003005006,G11000100003002006,110010003002006,1,1
G11000100004001000,110010004001000,G11000100004001000,110010004001000,1,1
G11000100004001001,110010004001001,G11000100004001005,110010004001005,1,1
G11000100004001002,110010004001002,G11000100004001004,110010004001004,1,1
G11000100004001003,110010004001003,G11000100004001001,110010004001001,0.0316973415,0.0033560662
G11000100004001003,110010004001003,G11000100004001003,110010004001003,0.9683026585,0.9966439338
G11000100004001004,110010004001004,G11000100004001002,110010004001002,1,1
G11000100004001005,110010004001005,G11000100004001008,110010004001008,1,1
G11000100004001006,110010004001006,G11000100004001007,110010004001007,1,1
G11000100004001007,110010004001007,G11000100004001006,110010004001006,1,1
G11000100004001008,110010004001008,G11000100004001019,110010004001019,1,1
G11000100004001009,110010004001009,G11000100004001018,110010004001018,1,1
G11000100004001010,110010004001010,G11000100004001010,110010004001010,1,1
G11000100004001011,110010004001011,G11000100004001012,110010004001012,1,1
G11000100004001012,110010004001012,G11000100004001009,110010004001009,1,1
G11000100004001013,110010004001013,G11000100004001013,110010004001013,1,1
G11000100004001014,110010004001014,G11000100004001014,110010004001014,1,1
G11000100004001015,110010004001015,G11000100004001015,110010004001015,1,1
G11000100004001016,110010004001016,G11000100004001016,110010004001016,1,1
G11000100004001017,110010004001017,G11000100004001017,110010004001017,1,1
G11000100004001018,110010004001018,G11000100004001011,110010004001011,1,1
G11000100004001019,110010004001019,G11000100004001021,110010004001021,1,1
G11000100004001020,110010004001020,G11000100004001020,110010004001020,1,1
G11000100004001021,110010004001021,G11000100004001022,110010004001022,1,1
G11000100004002000,110010004002000,G11000100004002025,110010004002025,1,1
G11000100004002001,110010004002001,G11000100004002026,110010004002026,1,1
G11000100004002002,110010004002002,G11000100004002023,110010004002023,1,1
G11000100004002003,110010004002003,G11000100004002008,110010004002008,0.9798978415,0.9902704858
G11000100004002003,110010004002003,G11000100004002023,110010004002023,0.0201021585,0.0097295142
G11000100004002004,110010004002004,G11000100004002004,110010004002004,0.7305097794,0.6097560976
G11000100004002004,110010004002004,G11000100004002005,110010004002005,0.2694902206,0.3902439024
G11000100004002005,110010004002005,G11000100004002003,110010004002003,1,1
G11000100004002006,110010004002006,G11000100004002002,110010004002002,1,1
G11000100004002007,110010004002007,G11000100004002000,110010004002000,1,1
G11000100004002008,110010004002008,G11000100004002001,110010004002001,1,1
G11000100004002009,110010004002009,G11000100004002009,110010004002009,0.9910311233,1
G11000100004002009,110010004002009,G11000100004002015,110010004002015,0.0089688767,0
G11000100004002010,110010004002010,G11000100004002010,110010004002010,1,1
G11000100004002011,110010004002011,G11000100004002020,110010004002020,1,1
G11000100004002012,110010004002012,G11000100004002019,110010004002019,0.7854854265,0.8513734885
G11000100004002012,110010004002012,G11000100004002027,110010004002027,0.1659169024,0.0189470325
G11000100004002012,110010004002012,G11000100004002028,110010004002028,0.0485976711,0.129679479
G11000100004002013,110010004002013,G11000100004002017,110010004002017,1,1
G11000100004002014,110010004002014,G11000100004002018,110010004002018,1,1
G11000100004002015,110010004002015,G11000100004002029,110010004002029,0.4787788087,0.9699764127
G11000100004002015,110010004002015,G11000100004002030,110010004002030,0.5212211913,0.0300235873
G11000100004002016,110010004002016,G11000100004002016,110010004002016,1,1
G11000100004002017,110010004002017,G11000100004002011,110010004002011,1,1
G11000100004002018,110010004002018,G11000100004002012,110010004002012,0.778381012,0.7297297297
G11000100004002018,110010004002018,G11000100004002013,110010004002013,0.1832324076,0.0810810811
G11000100004002018,110010004002018,G11000100004002021,110010004002021,0.0383865804,0.1891891892
G11000100004002019,110010004002019,G11000100004002014,110010004002014,0.3886565604,1
G11000100004002019,110010004002019,G11000100004002022,110010004002022,0.6113434396,0
G11000100004002020,110010004002020,G11000100004002024,110010004002024,1,1
G11000100004002021,110010004002021,G11000100004002007,110010004002007,1,1
G11000100004002022,110010004002022,G11000100004002006,110010004002006,1,1
G11000100005011000,110010005011000,G11000100005011002,110010005011002,0.1796973877,0
G11000100005011000,110010005011000,G11000100005011003,110010005011003,0.0059701178,0
G11000100005011000,110010005011000,G11000100005011004,110010005011004,0.8107967528,1
G11000100005011000,110010005011000,G11000100005011008,110010005011008,0.0035357417,0
G11000100005011001,110010005011001,G11000100005011000,110010005011000,0.4094229364,0.4094229364
G11000100005011001,110010005011001,G11000100005011001,110010005011001,0.5905770636,0.5905770636
G11000100005011002,110010005011002,G11000100005011006,110010005011006,1,1
G11000100005011003,110010005011003,G11000100005011012,110010005011012,1,1
G11000100005011004,110010005011004,G11000100005011007,110010005011007,1,1
G11000100005011005,110010005011005,G11000100005011005,110010005011005,1,1
G11000100005011006,110010005011006,G11000100005011011,110010005011011,1,1
G11000100005011007,110010005011007,G11000100005011010,110010005011010,1,1
G11000100005011008,110010005011008,G11000100005011009,110010005011009,1,1
G11000100005011009,110010005011009,G11000100005011013,110010005011013,1,1
G11000100005011010,110010005011010,G11000100005011014,110010005011014,1,1
G11000100005012000,110010005012000,G11000100005012000,110010005012000,1,1
G11000100005012001,110010005012001,G11000100005012003,110010005012003,1,1
G11000100005012002,110010005012002,G11000100005012002,110010005012002,1,1
G11000100005012003,110010005012003,G11000100005012001,110010005012001,1,1
G11000100005012004,110010005012004,G11000100005012004,110010005012004,1,1
G11000100005012005,110010005012005,G11000100005012005,110010005012005,1,1
G11000100005023000,110010005023000,G11000100005021000,110010005021000,1,1
G11000100005023001,110010005023001,G11000100005021001,110010005021001,1,1
G11000100005023002,110010005023002,G11000100005021011,110010005021011,1,1
G11000100005023003,110010005023003,G11000100005021002,110010005021002,1,1
G11000100005023004,110010005023004,G11000100005021003,110010005021003,1,1
G11000100005023005,110010005023005,G11000100005021004,110010005021004,1,1
G11000100005023006,110010005023006,G11000100005021010,110010005021010,1,1
G11000100005023007,110010005023007,G11000100005021008,110010005021008,1,1
G11000100005023008,110010005023008,G11000100005021009,110010005021009,1,1
G11000100005023009,110010005023009,G11000100005021014,110010005021014,1,1
G11000100005023010,110010005023010,G11000100005021005,110010005021005,1,1
G11000100005023011,110010005023011,G11000100005021006,110010005021006,1,1
G11000100005023012,110010005023012,G11000100005021007,110010005021007,1,1
G11000100005023013,110010005023013,G11000100005021012,110010005021012,1,1
G11000100005023014,110010005023014,G11000100005021013,110010005021013,1,1
G11000100005024000,110010005024000,G11000100005022000,110010005022000,1,1
G11000100005024001,110010005024001,G11000100005022001,110010005022001,1,1
G11000100005024002,110010005024002,G11000100005022006,110010005022006,1,1
G11000100005024003,110010005024003,G11000100005022005,110010005022005,1,1
G11000100005024004,110010005024004,G11000100005022002,110010005022002,1,1
G11000100005024005,110010005024005,G11000100005022003,110010005022003,1,1
G11000100005024006,110010005024006,G11000100005022004,110010005022004,1,1
G11000100006001000,110010006001000,G11000100006001000,110010006001000,1,1
G11000100006001001,110010006001001,G11000100006001001,110010006001001,1,1
G11000100006001002,110010006001002,G11000100006001002,110010006001002,1,1
G11000100006001003,110010006001003,G11000100006001004,110010006001004,1,1
G11000100006001004,110010006001004,G11000100006001005,110010006001005,1,1
G11000100006001005,110010006001005,G11000100006001003,110010006001003,1,1
G11000100006002000,110010006002000,G11000100006002000,110010006002000,1,1
G11000100006002001,110010006002001,G11000100006002001,110010006002001,0.4758155457,0.7194172439
G11000100006002001,110010006002001,G11000100006002002,110010006002002,0.5241844543,0.2805827561
G11000100006002002,110010006002002,G11000100006002002,110010006002002,1,1
G11000100006002003,110010006002003,G11000100006002004,110010006002004,1,1
G11000100006002004,110010006002004,G11000100006002003,110010006002003,1,1
G11000100006002005,110010006002005,G11000100006002005,110010006002005,0.7006108091,0.6578249337
G11000100006002005,110010006002005,G11000100006002006,110010006002006,0.2993891909,0.3421750663
G11000100006002006,110010006002006,G11000100006002008,110010006002008,1,1
G11000100006002007,110010006002007,G11000100006002007,110010006002007,1,1
G11000100006002008,110010006002008,G11000100006002009,110010006002009,1,1
G11000100006003000,110010006003000,G11000100006003000,110010006003000,1,1
G11000100006003001,110010006003001,G11000100006003001,110010006003001,1,1
G11000100006003002,110010006003002,G11000100006003002,110010006003002,1,1
G11000100006003003,110010006003003,G11000100006003003,110010006003003,1,1
G11000100006003004,110010006003004,G11000100006003004,110010006003004,1,1
G11000100006003005,110010006003005,G11000100006003005,110010006003005,1,1
G11000100006003006,110010006003006,G11000100006003006,110010006003006,1,1
G11000100006003007,110010006003007,G11000100006003007,110010006003007,1,1
G11000100006003008,110010006003008,G11000100006003008,110010006003008,1,1
G11000100006004000,110010006004000,G11000100006004012,110010006004012,0.9696639964,1
G11000100006004000,110010006004000,G11000100006004013,110010006004013,0.0303360036,0
G11000100006004001,110010006004001,G11000100006004011,110010006004011,1,1
G11000100006004002,110010006004002,G11000100006004006,110010006004006,1,1
G11000100006004003,110010006004003,G11000100006004007,110010006004007,0.4850036576,0.3831852574
G11000100006004003,110010006004003,G11000100006004008,110010006004008,0.5149963424,0.6168147426
G11000100006004004,110010006004004,G11000100006004000,110010006004000,0.4430437221,0.653968254
G11000100006004004,110010006004004,G11000100006004001,110010006004001,0.5569562779,0.346031746
G11000100006004005,110010006004005,G11000100006004002,110010006004002,1,1
G11000100006004006,110010006004006,G11000100006004003,110010006004003,1,1
G11000100006004007,110010006004007,G11000100006004004,110010006004004,1,1
G11000100006004008,110010006004008,G11000100006004005,110010006004005,1,1
G11000100006004009,110010006004009,G11000100006004009,110010006004009,1,1
G11000100006004010,110010006004010,G11000100006004010,110010006004010,1,1
G11000100006004011,110010006004011,G11000100006004017,110010006004017,1,1
G11000100006004012,110010006004012,G11000100006004018,110010006004018,1,1
G11000100006004013,110010006004013,G11000100006004019,110010006004019,0.9716795866,1
G11000100006004013,110010006004013,G11000100006004020,110010006004020,0.0283204134,0
G11000100006004014,110010006004014,G11000100006004016,110010006004016,1,1
G11000100006004015,110010006004015,G11000100006004015,110010006004015,1,1
G11000100006004016,110010006004016,G11000100006004014,110010006004014,1,1
G11000100006004017,110010006004017,G11000100006004021,110010006004021,1,1
G11000100007011000,110010007011000,G11000100007011000,110010007011000,1,1
G11000100007011001,110010007011001,G11000100007011001,110010007011001,1,1
G11000100007011002,110010007011002,G11000100007011002,110010007011002,1,1
G11000100007011003,110010007011003,G11000100007011003,110010007011003,1,1
G11000100007011004,110010007011004,G11000100007011006,110010007011006,1,1
G11000100007011005,110010007011005,G11000100007011004,110010007011004,0.3110777873,0.7006472492
G11000100007011005,110010007011005,G11000100007011005,110010007011005,0.6889222127,0.2993527508
G11000100007011006,110010007011006,G11000100007011007,110010007011007,1,1
G11000100007012000,110010007012000,G11000100007014003,110010007014003,1,1
G11000100007012001,110010007012001,G11000100007014001,110010007014001,1,1
G11000100007012002,110010007012002,G11000100007014000,110010007014000,1,1
G11000100007012003,110010007012003,G11000100007012001,110010007012001,1,1
G11000100007012004,110010007012004,G11000100007012000,110010007012000,1,1
G11000100007012005,110010007012005,G11000100007013000,110010007013000,0.4066283044,0.5949368286
G11000100007012005,110010007012005,G11000100007013001,110010007013001,0.3362263661,0.1303013784
G11000100007012005,110010007012005,G11000100007013002,110010007013002,0.2571453295,0.274761793
G11000100007012006,110010007012006,G11000100007013003,110010007013003,1,1
G11000100007012007,110010007012007,G11000100007014006,110010007014006,1,1
G11000100007012008,110010007012008,G11000100007014007,110010007014007,1,1
G11000100007012009,110010007012009,G11000100007014002,110010007014002,1,1
G11000100007012010,110010007012010,G11000100007014005,110010007014005,1,1
G11000100007012011,110010007012011,G11000100007014004,110010007014004,1,1
G11000100007012012,110010007012012,G11000100007014009,110010007014009,1,1
G11000100007012013,110010007012013,G11000100007014008,110010007014008,1,1
G11000100007023000,110010007023000,G11000100007022000,110010007022000,1,1
G11000100007023001,110010007023001,G11000100007023001,110010007023001,1,1
G11000100007023002,110010007023002,G11000100007023000,110010007023000,1,1
G11000100007023003,110010007023003,G11000100007023002,110010007023002,1,1
G11000100007025000,110010007025000,G11000100007021000,110010007021000,1,1
G11000100007025001,110010007025001,G11000100007021001,110010007021001,1,1
G11000100007025002,110010007025002,G11000100007021002,110010007021002,1,1
G11000100007025003,110010007025003,G11000100007021003,110010007021003,1,1
G11000100007025004,110010007025004,G11000100007021004,110010007021004,1,1
G11000100007025005,110010007025005,G11000100007021006,110010007021006,1,1
G11000100007025006,110010007025006,G11000100007021005,110010007021005,1,1
G11000100007025007,110010007025007,G11000100007021007,110010007021007,1,1
G11000100008011000,110010008011000,G11000100008011000,110010008011000,0.9302708739,0.8870332276
G11000100008011000,110010008011000,G11000100008011001,110010008011001,0.0697291261,0.1129667724
G11000100008011001,110010008011001,G11000100008011000,110010008011000,1,1
