X,Y,OBJECTID,PID,SSL,PMPROPERTYID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,REPORTSTATUS,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_SELFSELECT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERSCORE_MFPROPERTIES,WATERUSE_ALLWATERSOURCES_KGAL,NATURALGASUSE_THERMS,FUELOILANDDIESELFUELUSEKBTU,METEREDAREAS_ENERGY,METEREDAREAS_WATER,DISTRCHILLEDWATER_KBTU,DISTRHOTWATER_KBTU,DISTRSTEAM_KBTU,ELECTRICITYUSE_RENEWABLE_KWH,ELECTRICITYUSE_GRID_KWH,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,LATITUDE,LONGITUDE,ADDRESSID,XCOORD,YCOORD,GIS_LAST_MOD_DTTM,LASTUPDATE,UBID,REPORTINGYEAR,ENFORCEMENT_ACTION,VERIFIER_NAME,VERIFIER_ORGANIZATION
-8576201.996,4707993.5566,5434969,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH ST NW,JACK I BENDER & SONS,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,79905,50,86.2,86.6,237.2,237.6,593.6,7.4,,1211.7,1872.7,0,Whole Property,,0,0,0,0,1963355.1,43222.3,32435.3,19711.2,9021.2,6627.1,6178.9,4983.8,3440.7,5064.7,6651.3,18916.4,31021.8,559931.7,527510.4,538372.8,481156.5,528143.4,572710.6,645163.6,617985.2,545432.7,534908.7,534069.9,613583.2,38.90443854,-77.04133103,278853,396415.00992437,137398.826757414,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2020,,,
-8576201.996,4707993.5566,5434970,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH ST NW,JACK I BENDER & SONS INC,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,79905,41,94.5,94.7,260.6,260.9,651.6,8.2,,1544.2,1762.7,0,Whole Property,,0,0,0,0,2160483.3,18026.5,39023.4,26517.2,8434.8,5446,5242.5,5433.4,5309.4,5134.4,9616,18446.9,29644.1,645640.6,590050.5,610007,569521.2,586011.1,611398.8,665194.9,656628.3,617541.3,604139.8,583091.5,632344.9,38.90443854,-77.04133103,278853,396415.00992437,137398.826757414,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2021,,,
-8576201.996,4707993.5566,5434971,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH STREET NW,JACK I BENDER & SONS INC,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,79905,45,91.6,91.7,249.3,249.4,626.4,7.8,,1386.4,3253.8,0,Whole Property,,0,0,0,0,2049171.5,40863.3,35235.8,26486.9,7124.1,19392,28143.8,5740.9,3543.3,9932.1,32294.8,58004.7,58614.5,658321.6,606276.6,623041.8,579669,598476.4,577634.9,624110,617465,541134.3,471724,500444.7,593475.7,38.90443854,-77.04133103,278853,396415.00992437,137398.826757414,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2022,,,
-8576201.996,4707993.5566,5434972,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH ST NW,JACK I BENDER & SONS INC,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,79905,55,79.8,79.8,216.7,216.7,548.9,6.9,,1228.1,3048.2,0,Whole Property,,0,0,0,0,1779031.3,51204.8,83974.5,59475.8,35303.1,26995.6,6712.1,9455.2,9378.4,10873.4,9712.6,506.4,1226.7,602053.2,515116.8,544424.5,486322.9,469302.2,487048.8,540569.6,523283.8,469998.1,434971.9,444355.3,552607.5,38.90443854,-77.04133103,278853,396415.00992437,137398.826757414,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2023,,Jonathan Eckman,Sustainable Investment Group
-8576201.996,4707993.5566,5434973,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH STREET NW,JACK I BENDER & SONS INC,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,79905,58,79.9,81,219.9,222.6,554.1,6.93,,1362,1708.9,0,Whole Property,,0,0,0,0,1820078.8,45597.2,30058.6,17989.6,8883.9,5676.8,4775.6,4520.3,4865.9,4858.1,5589.7,8229.6,29848.4,575856.1,505096.4,499805.2,458756.4,494695.4,517883,571512.4,547800.6,490258.6,483024.6,486473.1,578947.2,38.90443854,-77.04133103,278853,396415.00992437,137398.826757414,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2024,,Jonathan Eckman,Sustainable Investment Group
-8576019.5822,4708202.1647,5434974,PM1257643,0160 0035,1257643,OFC Building,,,In Compliance,1730 RHODE ISLAND AV NW,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP,2,1730 Rhode Island Ave. NW,WASHINGTON,DC,20036,1966,Office,Office,244818,182134,83,78.3,76.9,192.8,189.8,1537.5,8.4,,5141.5,45430.48976,76889.3,Whole Building,,0,0,0,0,2825297.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9058968292,-77.0396923799,241782,396557.214297038,137560.645604366,2025/10/27 22:01:24+00,2025/08/05 00:00:00+00,,2014,,,
-8575980.1291,4708209.3061,5434975,PM1257643,0160 0035,1257643,OFC Building,,,In Compliance,1730 RHODE ISLAND AV NW,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP,2,1730 Rhode Island Ave. NW,Washington,DC,20036,1966,Office,Office,244818,182146.4,84,78.7,78.8,186.6,185.3,1506.7,8.3,,5083.3,46587.28978,603482.9,Whole Building,,0,0,0,0,2658949.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9059467507,-77.0393379672,241782,396587.957262502,137566.173989072,2025/10/27 22:01:24+00,2025/08/05 00:00:00+00,,2015,,,
-8575980.1291,4708209.3061,5434976,PM1257643,0160 0035,1257643,OFC Building,,,In Compliance,1730 RHODE ISLAND AV NW,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP,2,1730 Rhode Island Ave. NW,WASHINGTON,DC,20036,1966,Office,Office,244818,182132.3,87,69,70.1,172.7,172.7,1205.2,6.6,,3935.1,38236.776933,0,Whole Building,,0,0,0,0,2561153.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9059467507,-77.0393379672,241782,396587.957262502,137566.173989072,2025/10/27 22:01:24+00,2025/08/05 00:00:00+00,,2016,,,
-8575980.1291,4708209.3061,5434977,PM1257643,0160 0035,1257643,OFC Building,,,In Compliance,1730 RHODE ISLAND AV NW,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP,2,1730 Rhode Island Ave. NW,WASHINGTON,DC,20036,1966,Office,Office,244818,182134,88,67.4,70.2,163.8,165.3,1121.7,6.2,,4266.6,41411.57304,29443,Whole Building,,0,0,0,0,2376574.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9059467507,-77.0393379672,241782,396587.957262502,137566.173989072,2025/10/27 22:01:24+00,2025/08/05 00:00:00+00,,2017,,,
-8575979.8745,4708208.2402,5434978,PM1257643,0160 0035,1257643,OFC Building,,,In Compliance,1730 RHODE ISLAND AV NW,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP,2,1730 Rhode Island Ave. NW,WASHINGTON,DC,20036,1966,Office,Office,244818,178421,80,63.9,63.6,140.3,139.2,941.6,5.3,,3466.1,31138.8924,811253,Whole Property,,0,0,0,0,2192452.9,715759.4,392336.6,428691.6,303070.6,50066.8,33427.1,33165.2,34934,55759.8,85365.7,258007.9,723304.6,522093.2,465468.9,535216.6,566085.7,637669,700156.2,809687.2,794623.2,735632,653926.6,533677.2,526414.6,38.9059393,-77.03933568,241782,396588.155293866,137565.346819594,2025/10/27 22:01:24+00,2025/08/05 00:00:00+00,,2018,,,
