"Property/Plant ID","Building Name",Address1,Address2,City,State,Zip,"Building Owner","Property Manager","Gross Floor Area","Number of Years Certified","Certification Years",Score(s),"Property Type","Year constructed","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
3993135,"	CASTLE MANOR","2515 13th St NW",,Washington,DC,20009,"Bernstein Management Corporation",,63000,3," 2021, 2022 , 2023","90, 84 , 81","Multifamily Housing",1926,38.922961,-77.029239,1,rooftop,"2515 13th St NW",,"Washington, DC 20009",2515,"13th St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
3993177,"	PARAMOUNT","829 Quincy St, NW",,Washington,DC,20011,"Bernstein Management Corporation",,67104,1," 2022",80,"Multifamily Housing",1929,38.937882,-77.024931,1,rooftop,"829 Quincy St NW",,"Washington, DC 20011",829,"Quincy St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
3993733,"	SENTINEL SQUARE II","1050 1st Street NE",,Washington,DC,20002,"Sentinel Square Hana OW, LLC c/o OW Management Services, Inc.","Ocean West Management Services, Inc.",280363,6," 2019, 2020 , 2021 , 2022 , 2023 , 2024","83, 87 , 84 , 91 , 90 , 90",Office,2013,38.903442,-77.006223,1,rooftop,"1050 1st St NE",,"Washington, DC 20002",1050,"1st St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
4005190,"	1110 VERMONT AVENUE, NW","1110 Vermont Ave, NW",,Washington,DC,20005,"EPIC Vermont LLC","Cushman && Wakefield",318497,11," 2010, 2011 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 , 2020 , 2021 , 2022","86, 82 , 87 , 84 , 83 , 85 , 86 , 77 , 79 , 86 , 85",Office,1979,38.904335,-77.03326,1,rooftop,"1110 Vermont Ave NW",,"Washington, DC 20005",1110,"Vermont Ave NW",,,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
4007843,"	ALLEGRO APTS. (D.C.) (LL083)","3460 14th Street NW",,Washington,DC,20010,Bozzuto,,278258,7," 2018, 2019 , 2020 , 2021 , 2022 , 2023 , 2024","77, 84 , 89 , 90 , 85 , 92 , 99","Multifamily Housing",2009,38.932914,-77.033017,1,rooftop,"3460 14th St NW",,"Washington, DC 20010",3460,"14th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
4007889,"	THE GRAYS ON PENNSYLVANIA","2323 Pennsylvania Avenue SE",,Washington,DC,20020,"Chapman Development LCC","Bozzuto Management Company",98353,3," 2016, 2017 , 2018","84, 87 , 88","Multifamily Housing",2010,38.874133,-76.972748,1,rooftop,"2323 Pennsylvania Ave SE",,"Washington, DC 20020",2323,"Pennsylvania Ave SE",,,Washington,DC,"District of Columbia",20020,US,"Statewide (City of Washington)"
4007896,"	THE LOREE GRAND","250 K Street NE",,Washington,DC,20002,"Union Place Phase I, LLC","Bozzuto Management Company",236905,3," 2015, 2016 , 2017","90, 90 , 88","Multifamily Housing",2010,38.90281,-77.002441,1,rooftop,"250 K St NE",,"Washington, DC 20002",250,"K St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
4008037,"	1717 K ST NW","1717 K St NW",,Washington,DC,20006,"JBG Smith",,406131,11," 2014, 2015 , 2016 , 2017 , 2018 , 2019 , 2020 , 2021 , 2022 , 2023 , 2024","86, 88 , 92 , 91 , 90 , 78 , 77 , 85 , 80 , 80 , 81",Office,2012,38.902898,-77.040293,1,rooftop,"1717 K St NW",,"Washington, DC 20006",1717,"K St NW",,,Washington,DC,"District of Columbia",20006,US,"Statewide (City of Washington)"
4008041,"	NEWSEUM RESIDENCES","565 Pennsylvania Ave NW",,Washington,DC,20001,"Newseum Residences, LLC","Bozzuto Management Company",145435,4," 2016, 2018 , 2020 , 2021","79, 76 , 87 , 93","Multifamily Housing",2007,38.893315,-77.019563,1,rooftop,"565 Pennsylvania Ave NW",,"Washington, DC 20001",565,"Pennsylvania Ave NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
4013975,"	FLATS 130 AT CONSTITUTION SQUARE I","130 M Street NE",,Washington,DC,20002,"Flats 130 DC Residential LLC","Bozzuto Management Company",496052,2," 2016, 2017","91, 89","Multifamily Housing",2010,38.905908,-77.004969,1,rooftop,"130 M St NE",,"Washington, DC 20002",130,"M St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
