bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G11000100062021,110010062021,G11000100001023,110010001023,0.0074740261,0,0,0,0,0,0,0
G11000100062021,110010062021,G11000100056023,110010056023,0.0002247999,0,0,0,0,0,0,0
G11000100062021,110010062021,G11000100058022,110010058022,0.0006262393,0,0,0,0,0,0,0
G11000100062021,110010062021,G11000100102025,110010102025,0.0005599423,0,0,0,0,0,0,0
G11000100062021,110010062021,G11000109800001,110019800001,0.9911149924,1,1,1,1,1,1,1
G11000100064001,110010064001,G11000100064001,110010064001,1,1,1,1,1,1,1,1
G11000100064002,110010064002,G11000100064002,110010064002,1,1,1,1,1,1,1,1
G11000100065001,110010065001,G11000100065001,110010065001,1,1,1,1,1,1,1,1
G11000100065002,110010065002,G11000100065002,110010065002,1,1,1,1,1,1,1,1
G11000100066001,110010066001,G11000100065001,110010065001,0.0071688456,0,0,0,0,0,0,0
G11000100066001,110010066001,G11000100066001,110010066001,0.5566944623,0.6678889471,0.6702380952,0.676300578,0.6702755906,0.6745406824,0.6666666667,0.673870334
G11000100066001,110010066001,G11000100066002,110010066002,0.436136692,0.3321110529,0.3297619048,0.323699422,0.3297244094,0.3254593176,0.3333333333,0.326129666
G11000100067001,110010067001,G11000100067001,110010067001,1,1,1,1,1,1,1,1
G11000100067002,110010067002,G11000100067002,110010067002,1,1,1,1,1,1,1,1
G11000100067003,110010067003,G11000100067003,110010067003,1,1,1,1,1,1,1,1
G11000100068011,110010068011,G11000100068011,110010068011,1,1,1,1,1,1,1,1
G11000100068012,110010068012,G11000100068012,110010068012,1,1,1,1,1,1,1,1
G11000100068021,110010068021,G11000100068021,110010068021,1,1,1,1,1,1,1,1
G11000100068022,110010068022,G11000100068022,110010068022,1,1,1,1,1,1,1,1
G11000100068041,110010068041,G11000100068041,110010068041,0.9996415678,1,1,1,1,1,1,1
G11000100068041,110010068041,G11000100071001,110010071001,0.0003584322,0,0,0,0,0,0,0
G11000100069001,110010069001,G11000100069001,110010069001,1,1,1,1,1,1,1,1
G11000100069002,110010069002,G11000100069002,110010069002,1,1,1,1,1,1,1,1
G11000100070001,110010070001,G11000100070001,110010070001,1,1,1,1,1,1,1,1
G11000100070002,110010070002,G11000100070002,110010070002,1,1,1,1,1,1,1,1
G11000100071001,110010071001,G11000100071001,110010071001,1,1,1,1,1,1,1,1
G11000100071002,110010071002,G11000100071002,110010071002,0.5052062416,0.5601539942,0.498216409,0.5873786408,0.5075987842,0.5169172932,0.2466367713,0.7227356747
G11000100071002,110010071002,G11000100071003,110010071003,0.4947937584,0.4398460058,0.501783591,0.4126213592,0.4924012158,0.4830827068,0.7533632287,0.2772643253
G11000100072001,110010072001,G11000100065002,110010065002,0.0076538905,0,0,0,0,0,0,0
G11000100072001,110010072001,G11000100070001,110010070001,0.0172056569,0,0,0,0,0,0,0
G11000100072001,110010072001,G11000100072022,110010072022,0.2374446316,0.1726069246,0.1788222582,0.1881918819,0.1823480433,0.2627118644,0.0981818182,0.2073434125
G11000100072001,110010072001,G11000100072023,110010072023,0.2089469416,0.4969450102,0.510534846,0.3616236162,0.4987510408,0.4334140436,0.0036363636,0.6457883369
G11000100072001,110010072001,G11000100072033,110010072033,0.0939317224,0,0,0,0,0,0,0
G11000100072001,110010072001,G11000100072034,110010072034,0.4348171571,0.3304480652,0.3106428957,0.4501845018,0.3189009159,0.303874092,0.8981818182,0.1468682505
G11000100072002,110010072002,G11000100070001,110010070001,0.0039162662,0,0,0,0,0,0,0
G11000100072002,110010072002,G11000100070002,110010070002,0.0063149205,0,0,0,0,0,0,0
G11000100072002,110010072002,G11000100072011,110010072011,0.1480358021,0,0,0,0,0.0013927577,0,0
G11000100072002,110010072002,G11000100072012,110010072012,0.1294925403,0,0,0,0,0,0,0
G11000100072002,110010072002,G11000100072013,110010072013,0.2708918462,0.0445783133,0.0421313507,0.1530612245,0.0254372019,0.0292479109,0,0.0261865794
G11000100072002,110010072002,G11000100072014,110010072014,0.1863681967,0,0,0,0,0,0,0
G11000100072002,110010072002,G11000100072021,110010072021,0.0451597677,0.4060240964,0.4126394052,0.3265306122,0.3831478537,0.3662952646,0.1666666667,0.3895253682
G11000100072002,110010072002,G11000100072031,110010072031,0.0460464517,0.3084337349,0.2986369269,0.3367346939,0.3131955485,0.286908078,0.3333333333,0.3126022913
G11000100072002,110010072002,G11000100072032,110010072032,0.1637742087,0.2409638554,0.2465923172,0.1836734694,0.2782193959,0.3161559889,0.5,0.271685761
G11000100073011,110010073011,G11000100073011,110010073011,0.2372655613,0.2929008333,0.3063718437,0.2911732012,0.2927454268,0.2701179858,0.0909090909,0.2955172116
G11000100073011,110010073011,G11000100073012,110010073012,0.2236074862,0.2865205843,0.257751938,0.3430079156,0.3435960591,0.404641776,0.6363636364,0.3395755306
G11000100073011,110010073011,G11000100073013,110010073013,0.5391269525,0.4205785824,0.4358762183,0.3658188832,0.3636585141,0.3252402382,0.2727272727,0.3649072578
G11000100073041,110010073041,G11000100073043,110010073043,0.1113912302,0.4062898428,0.3797886394,0.4299065421,0.4348422497,0.4257075472,0.173553719,0.4868421053
G11000100073041,110010073041,G11000100073044,110010073044,0.8807172489,0.5758606035,0.6050198151,0.5514018692,0.5473251029,0.5589622642,0.826446281,0.4917763158
G11000100073041,110010073041,G11000100074031,110010074031,0.0007093047,0.0014712937,0.0012522008,0.0015407005,0.0014699001,0.0012636288,0,0.0017624296
G11000100073041,110010073041,G11000100074093,110010074093,0.0071822163,0.0163782601,0.0139393448,0.0171508883,0.0163627473,0.0140665599,0,0.0196191494
G11000100073042,110010073042,G11000100073041,110010073041,1,1,1,1,1,1,1,1
G11000100073043,110010073043,G11000100073042,110010073042,1,1,1,1,1,1,1,1
G11000100074011,110010074011,G11000100074011,110010074011,0.9774385258,1,1,1,1,1,1,1
G11000100074011,110010074011,G11000100075031,110010075031,0.0147925148,0,0,0,0,0,0,0
G11000100074011,110010074011,G11000100076015,110010076015,0.0077689594,0,0,0,0,0,0,0
G11000100074012,110010074012,G11000100074012,110010074012,1,1,1,1,1,1,1,1
G11000100074031,110010074031,G11000100074031,110010074031,0.381697375,0.40818468,0.4146216769,0.4024725275,0.4203296703,0.4211864407,1,0.3625377644
G11000100074031,110010074031,G11000100074032,110010074032,0.618302625,0.59181532,0.5853783231,0.5975274725,0.5796703297,0.5788135593,0,0.6374622356
G11000100074041,110010074041,G11000100074041,110010074041,1,1,1,1,1,1,1,1
G11000100074042,110010074042,G11000100074042,110010074042,1,1,1,1,1,1,1,1
G11000100074043,110010074043,G11000100074012,110010074012,0.0033396851,0,0,0,0,0,0,0
G11000100074043,110010074043,G11000100074043,110010074043,0.9966603149,1,1,1,1,1,1,1
G11000100074061,110010074061,G11000100074061,110010074061,1,1,1,1,1,1,1,1
G11000100074062,110010074062,G11000100074062,110010074062,1,1,1,1,1,1,1,1
G11000100074071,110010074071,G11000100074071,110010074071,1,1,1,1,1,1,1,1
G11000100074072,110010074072,G11000100074072,110010074072,0.5552350189,0.4940711462,0.5299145299,0.4705882353,0.5087014726,0.5291319857,0.7348993289,0.3585746102
G11000100074072,110010074072,G11000100074073,110010074073,0.4447649811,0.5059288538,0.4700854701,0.5294117647,0.4912985274,0.4708680143,0.2651006711,0.6414253898
G11000100074081,110010074081,G11000100074071,110010074071,0.010699407,0,0,0,0,0,0,0
G11000100074081,110010074081,G11000100074081,110010074081,0.4238128892,0.3851217907,0.3798717316,0.4331864905,0.4377967711,0.4430992736,0.1044776119,0.486398259
G11000100074081,110010074081,G11000100074082,110010074082,0.5654877038,0.6148782093,0.6201282684,0.5668135095,0.5622032289,0.5569007264,0.8955223881,0.513601741
G11000100074091,110010074091,G11000100074091,110010074091,1,1,1,1,1,1,1,1
G11000100074092,110010074092,G11000100074092,110010074092,1,1,1,1,1,1,1,1
G11000100074093,110010074093,G11000100074093,110010074093,1,1,1,1,1,1,1,1
G11000100075021,110010075021,G11000100075021,110010075021,1,1,1,1,1,1,1,1
G11000100075022,110010075022,G11000100075022,110010075022,0.3753561789,0.2234156821,0.2146017699,0.226044226,0.212195122,0.2209543568,0.0441176471,0.295620438
G11000100075022,110010075022,G11000100075023,110010075023,0.6246438211,0.7765843179,0.7853982301,0.773955774,0.787804878,0.7790456432,0.9558823529,0.704379562
G11000100075031,110010075031,G11000100075031,110010075031,1,1,1,1,1,1,1,1
G11000100075032,110010075032,G11000100075032,110010075032,1,1,1,1,1,1,1,1
G11000100075041,110010075041,G11000100075021,110010075021,0.0407837121,0,0,0,0,0,0,0
G11000100075041,110010075041,G11000100075041,110010075041,0.8147402356,0.7148102815,0.6797820823,0.7194492255,0.6812313803,0.6288065844,0.6919642857,0.6781609195
G11000100075041,110010075041,G11000100075042,110010075042,0.1444760523,0.2851897185,0.3202179177,0.2805507745,0.3187686197,0.3711934156,0.3080357143,0.3218390805
G11000100076011,110010076011,G11000100076011,110010076011,1,1,1,1,1,1,1,1
G11000100076012,110010076012,G11000100076011,110010076011,0.0070618833,0,0,0,0,0,0,0
G11000100076012,110010076012,G11000100076012,110010076012,0.9929381167,1,1,1,1,1,1,1
G11000100076013,110010076013,G11000100076013,110010076013,1,1,1,1,1,1,1,1
G11000100076014,110010076014,G11000100076014,110010076014,1,1,1,1,1,1,1,1
G11000100076015,110010076015,G11000100076015,110010076015,1,1,1,1,1,1,1,1
G11000100076031,110010076031,G11000100076031,110010076031,1,1,1,1,1,1,1,1
G11000100076032,110010076032,G11000100076032,110010076032,1,1,1,1,1,1,1,1
G11000100076033,110010076033,G11000100076033,110010076033,1,1,1,1,1,1,1,1
G11000100076034,110010076034,G11000100076034,110010076034,1,1,1,1,1,1,1,1
G11000100076041,110010076041,G11000100076041,110010076041,1,1,1,1,1,1,1,1
G11000100076042,110010076042,G11000100076043,110010076043,0.2771308165,0.4133679429,0.4078740157,0.3946078431,0.451754386,0.4492957746,0.0933333333,0.8867313916
G11000100076042,110010076042,G11000100076044,110010076044,0.7228691835,0.5866320571,0.5921259843,0.6053921569,0.548245614,0.5507042254,0.9066666667,0.1132686084
G11000100076043,110010076043,G11000100076042,110010076042,1,1,1,1,1,1,1,1
G11000100076051,110010076051,G11000100076051,110010076051,1,1,1,1,1,1,1,1
G11000100076052,110010076052,G11000100076053,110010076053,0.1853960088,0.1002518892,0.0999383097,0.1223021583,0.0884086444,0.0858143608,0,0.09375
G11000100076052,110010076052,G11000100076054,110010076054,0.8146039912,0.8997481108,0.9000616903,0.8776978417,0.9115913556,0.9141856392,1,0.90625
G11000100076053,110010076053,G11000100076052,110010076052,1,1,1,1,1,1,1,1
G11000100077031,110010077031,G11000100077031,110010077031,1,1,1,1,1,1,1,1
G11000100077032,110010077032,G11000100077032,110010077032,1,1,1,1,1,1,1,1
G11000100077033,110010077033,G11000100077033,110010077033,1,1,1,1,1,1,1,1
G11000100077034,110010077034,G11000100077032,110010077032,0.0077476341,0.0019942401,0.0018585693,0.002259209,0.0015766515,0.0012888671,0.0048949529,0.0010260163
G11000100077034,110010077034,G11000100077034,110010077034,0.9922523659,0.9980057599,0.9981414307,0.997740791,0.9984233485,0.9987111329,0.9951050471,0.9989739837
G11000100077071,110010077071,G11000100077072,110010077072,0.5112511658,0.4096052162,0.4455664309,0.3762287296,0.4397251464,0.4249404906,0.7190786313,0.3278993556
G11000100077071,110010077071,G11000100077073,110010077073,0.4887488342,0.5903947838,0.5544335691,0.6237712704,0.5602748536,0.5750595094,0.2809213687,0.6721006444
G11000100077072,110010077072,G11000100077071,110010077071,1,1,1,1,1,1,1,1
G11000100077081,110010077081,G11000100077081,110010077081,1,1,1,1,1,1,1,1
G11000100077082,110010077082,G11000100077082,110010077082,1,1,1,1,1,1,1,1
G11000100077091,110010077091,G11000100077082,110010077082,0.0010358153,0,0,0,0,0,0,0
G11000100077091,110010077091,G11000100077091,110010077091,0.9989641847,1,1,1,1,1,1,1
G11000100077092,110010077092,G11000100077092,110010077092,1,1,1,1,1,1,1,1
G11000100078031,110010078031,G11000100078031,110010078031,1,1,1,1,1,1,1,1
G11000100078032,110010078032,G11000100078032,110010078032,1,1,1,1,1,1,1,1
G11000100078033,110010078033,G11000100078033,110010078033,1,1,1,1,1,1,1,1
G11000100078034,110010078034,G11000100078034,110010078034,1,1,1,1,1,1,1,1
G11000100078041,110010078041,G11000100078041,110010078041,1,1,1,1,1,1,1,1
G11000100078042,110010078042,G11000100078042,110010078042,1,1,1,1,1,1,1,1
G11000100078043,110010078043,G11000100078043,110010078043,1,1,1,1,1,1,1,1
G11000100078061,110010078061,G11000100078061,110010078061,1,1,1,1,1,1,1,1
G11000100078062,110010078062,G11000100078062,110010078062,1,1,1,1,1,1,1,1
