GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLOCKA,AREANAME,CBD,CM5001,CM5002,CM6001,CM6002,CM6003,CM6004
"G11000100003406","1970","District Of Columbia","11","District Of Columbia","001","0003","406","Tract    3 Block 406","1",77,97,0,0,2,6
"G11000100003407","1970","District Of Columbia","11","District Of Columbia","001","0003","407","Tract    3 Block 407","1",45,64,0,0,0,0
"G11000100003408","1970","District Of Columbia","11","District Of Columbia","001","0003","408","Tract    3 Block 408","1",37,52,1,0,2,2
"G11000100003409","1970","District Of Columbia","11","District Of Columbia","001","0003","409","Tract    3 Block 409","1",49,63,3,1,5,2
"G11000100003410","1970","District Of Columbia","11","District Of Columbia","001","0003","410","Tract    3 Block 410","1",48,53,0,0,0,0
"G11000100003411","1970","District Of Columbia","11","District Of Columbia","001","0003","411","Tract    3 Block 411","1",69,73,0,0,2,1
"G11000100003412","1970","District Of Columbia","11","District Of Columbia","001","0003","412","Tract    3 Block 412","1",51,71,0,0,1,0
"G11000100003501","1970","District Of Columbia","11","District Of Columbia","001","0003","501","Tract    3 Block 501","1",80,91,1,0,1,2
"G11000100003502","1970","District Of Columbia","11","District Of Columbia","001","0003","502","Tract    3 Block 502","1",67,84,4,0,2,2
"G11000100003503","1970","District Of Columbia","11","District Of Columbia","001","0003","503","Tract    3 Block 503","1",392,453,15,22,11,11
"G11000100003504","1970","District Of Columbia","11","District Of Columbia","001","0003","504","Tract    3 Block 504","1",72,102,6,2,4,6
"G11000100003505","1970","District Of Columbia","11","District Of Columbia","001","0003","505","Tract    3 Block 505","1",29,30,0,0,0,0
"G11000100003506","1970","District Of Columbia","11","District Of Columbia","001","0003","506","Tract    3 Block 506","1",112,135,1,1,0,2
"G11000100003507","1970","District Of Columbia","11","District Of Columbia","001","0003","507","Tract    3 Block 507","1",91,118,0,0,0,0
"G11000100004101","1970","District Of Columbia","11","District Of Columbia","001","0004","101","Tract    4 Block 101","1",9,5,0,0,0,0
"G11000100004102","1970","District Of Columbia","11","District Of Columbia","001","0004","102","Tract    4 Block 102","1",15,29,0,0,0,0
"G11000100004103","1970","District Of Columbia","11","District Of Columbia","001","0004","103","Tract    4 Block 103","1",15,15,0,0,0,1
