name,size,address,address_clean,number_and_street,City,State,zip,link,lat,lon,confidence,confidence_city_level,confidence_street_level,confidence_building_level,manually checked,manually edited
The Parks at Walter Reed: Parcels A-G,143,"Georgia Avenue and Fern Street NW
 Washington, DC 20012","Georgia Avenue and Fern Street NW, Washington, DC 20012",Georgia Avenue and Fern Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/1140/The_Parks_at_Walter_Reed_Parcels_AG,38.97810346,-77.02664066,0,1,,,1,1
1515 9th Street NW,45,"1515 9th Street NW
 Washington, DC 20001","1515 9th Street NW, Washington, DC 20001",1515 9th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1152/1515_9th_Street_NW,38.909945,-77.023864,1,1,1,1,,
17 Mississippi Avenue,41,"17 Mississippi Avenue SE
 Washington, DC 20032","17 Mississippi Avenue SE, Washington, DC 20032",17 Mississippi Avenue SE,Washington,District of Columbia,20032,https://dc.urbanturf.com/pipeline/955/17_Mississippi_Avenue,38.8318279,-77.00703269,1,1,1,1,,
Emblem,115,"301 Florida Avenue NE
 Washington, DC 20002","301 Florida Avenue NE, Washington, DC 20002",301 Florida Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/474/Emblem,38.907666,-77.001925,1,1,1,1,,
1610 Columbia Road NW,32,"1610 Columbia Road NW
 Washington, DC 20009","1610 Columbia Road NW, Washington, DC 20009",1610 Columbia Road NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1233/1610_Columbia_Road_NW,38.92600578,-77.03721406,1,1,1,1,,
Deanwood Metro Redevelopment,169,"4880 Minnesota Avenue NE
 Washington, DC 20019","4880 Minnesota Avenue NE, Washington, DC 20019",4880 Minnesota Avenue NE,Washington,District of Columbia,20019,https://dc.urbanturf.com/pipeline/782/Deanwood_Metro_Redevelopment,38.908838,-76.933196,1,1,1,1,,
The Bard,136,"501 I Street SW
 Washington, DC 20024","501 I Street SW, Washington, DC 20024",501 I Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/525/The_Bard,38.879368,-77.019041,1,1,1,1,,
1100 South Capitol,263,"1100 South Capitol Street SE
 Washington, DC 20003","1100 South Capitol Street SE, Washington, DC 20003",1100 South Capitol Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1109/1100_South_Capitol,38.878296,-77.009229,1,1,1,1,,
Heritage at Shaw Station,316,"1707 8th Street NW
 Washington, DC 20001","1707 8th Street NW, Washington, DC 20001",1707 8th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1151/Heritage_at_Shaw_Station,38.9131164,-77.02270408,1,1,1,1,,
Crummell School Redevelopment,320,"1900 Gallaudet Street NE
 Washington, DC 20002","1900 Gallaudet Street NE, Washington, DC 20002",1900 Gallaudet Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/637/Crummell_School_Redevelopment,38.9135573,-76.9861992,1,1,1,1,,
