name,size,address,address_clean,number_and_street,City,State,zip,link,lat,lon,confidence,confidence_city_level,confidence_street_level,confidence_building_level,manually checked,manually edited
Eastern Branch Boys and Girls Clubs Redevelopment,34,"261 17th Street SE
 Washington, DC 20003","261 17th Street SE, Washington, DC 20003",261 17th Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/764/Eastern_Branch_Boys_and_Girls_Clubs_Redevelopment,38.88567315,-76.98109012,1,1,1,1,,
Eckington Mews,26,"1710 1st Street NE
 Washington, DC 20002","1710 1st Street NE, Washington, DC 20002",1710 1st Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1183/Eckington_Mews,38.9131468,-77.00680139,1,1,1,1,,
3215 Mount Pleasant Street NW,9,"3215 Mount Pleasant Street NW
 Washington, DC 20010","3215 Mount Pleasant Street NW, Washington, DC 20010",3215 Mount Pleasant Street NW,Washington,District of Columbia,20010,https://dc.urbanturf.com/pipeline/1263/3215_Mount_Pleasant_Street_NW,38.9316575,-77.03827197,1,1,1,1,,
Parcel HK,62,"Dahlia and 13th Street NW
 Washington, DC 20012","Dahlia and 13th Street NW, Washington, DC 20012",Dahlia and 13th Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/1262/Parcel_HK,38.9758257,-77.03188445,0,1,,,1,1
Parcel Z Townhouses,37,"7150 12th St NW
 Washington, DC 20012","7150 12th St NW, Washington, DC 20012",7150 12th St NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/1261/Parcel_Z_Townhouses,38.97656545,-77.02834528,1,1,1,1,,
The Glade on Laurel,356,"6896 Laurel Street NW
 Washington, DC 20012","6896 Laurel Street NW, Washington, DC 20012",6896 Laurel Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/1136/The_Glade_on_Laurel,38.97373715,-77.01347893,1,1,1,1,,
Beech Tree Place,65,"7428 Georgia Avenue NW
 Washington, DC 20012","7428 Georgia Avenue NW, Washington, DC 20012",7428 Georgia Avenue NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/1138/Beech_Tree_Place,38.97997143,-77.02658461,1,1,1,1,,
The Faircliff,125,"2601 14th Street NW
 Washington, DC 20009","2601 14th Street NW, Washington, DC 20009",2601 14th Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1093/The_Faircliff,38.923892,-77.03205,1,1,1,1,,
NOVEL 14th Street,197,"2601 14th Street NW
 Washington, DC 20009","2601 14th Street NW, Washington, DC 20009",2601 14th Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1094/NOVEL_14th_Street,38.923892,-77.03205,1,1,1,1,,
The Clara,81,"2315 Martin Luther King Jr. Ave SE
 Washington, DC 20020","2315 Martin Luther King Jr. Ave SE, Washington, DC 20020",2315 Martin Luther King Jr. Ave SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/891/The_Clara,38.8632003,-76.9918493,1,1,1,1,,
Ozma,275,"44 M Street NE
 Washington, DC 20002","44 M Street NE, Washington, DC 20002",44 M Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/969/Ozma,38.90572421,-77.00757356,1,1,1,1,,
The Blagden,123,"917 M Street NW
 Washington, DC 20001","917 M Street NW, Washington, DC 20001",917 M Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/347/The_Blagden,38.9062048,-77.0248285,1,1,1,1,,
Europa,49,"818 Potomac Avenue SE
 Washington, DC 20003","818 Potomac Avenue SE, Washington, DC 20003",818 Potomac Avenue SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/733/Europa,38.8769345,-76.99480564,1,1,1,1,,
4201 Garrison Street NW,127,"4201 Garrison Street NW
 Washington, DC 20016","4201 Garrison Street NW, Washington, DC 20016",4201 Garrison Street NW,Washington,District of Columbia,20016,https://dc.urbanturf.com/pipeline/1206/4201_Garrison_Street_NW,38.956038,-77.082184,1,1,1,1,,
The 202,254,"202 Florida Avenue NE
 Washington, DC 20002","202 Florida Avenue NE, Washington, DC 20002",202 Florida Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1071/The_202,38.90839453,-77.00320723,1,1,1,1,,
The Florian,388,"1 Florida Avenue NE
 Washington, DC 20002","1 Florida Avenue NE, Washington, DC 20002",1 Florida Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1066/The_Florian,38.91065,-77.008943,1,1,1,1,,
Pinnacle Apartments,116,"7 New York Avenue NE
 Studio, one-bedroom and one-bedroom and den apartments
 Washington, DC 20002","7 New York Avenue NE, Studio, one-bedroom and one-bedroom and den apartments, Washington, DC 20002",7 New York Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1068/Pinnacle_Apartments,38.90744685,-77.00811836,1,1,1,1,,
Capitol Rose,158,"1733 16th Street NW
 Washington, DC 20009","1733 16th Street NW, Washington, DC 20009",1733 16th Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1163/Capitol_Rose,38.91370445,-77.03579097,1,1,1,1,,
Banner Lane,561,"44 Banner Ln
 Washington, DC 20001","44 Banner Ln, Washington, DC 20001",44 Banner Ln,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1258/Banner_Lane,38.90443666,-77.01083385,1,1,1,1,,
Sursum Corda Redevelopment,560,"M Street NW & 1st Street NW
 Washington, DC 20001","M Street NW & 1st Street NW, Washington, DC 20001",M Street NW & 1st Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/472/Sursum_Corda_Redevelopment,38.90555456,-77.01238538,0.5103,1,0.5103,,1,1
Peninsula 88,110,"88 V Street SW
 Washington, DC 20593","88 V Street SW, Washington, DC 20593",88 V Street SW,Washington,District of Columbia,20593,https://dc.urbanturf.com/pipeline/614/Peninsula_88,38.86454401,-77.01190638,1,1,1,1,,
Link Apartments on H Street,191,"1701 H Street NE
 Washington, DC 20002","1701 H Street NE, Washington, DC 20002",1701 H Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/613/Link_Apartments_on_H_Street,38.8997195,-76.97893348,1,1,1,1,,
The Byron,158,"101 V Street SW
 Washington, DC 20024","101 V Street SW, Washington, DC 20024",101 V Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1242/The_Byron,38.864706,-77.012346,1,1,1,1,,
The Stacks,2000+,"100 V Street SW
 Washington, DC 20024","100 V Street SW, Washington, DC 20024",100 V Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/901/The_Stacks,38.864542,-77.012338,1,1,1,1,,
Concrete Plant Redevelopment,434,"1700 Half Street SW
 Washington, DC 20024","1700 Half Street SW, Washington, DC 20024",1700 Half Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1125/Concrete_Plant_Redevelopment,38.868119,-77.010586,1,1,1,1,,
The Vermeer,501,"113 Potomac Avenue SW
 Washigton, DC 20024","113 Potomac Avenue SW, Washigton, DC 20024",113 Potomac Avenue SW,Washigton,District of Columbia,20024,https://dc.urbanturf.com/pipeline/899/The_Vermeer,38.86990231,-77.01136585,1,1,1,1,,
MDXL Flats,101,"1530 First Street SW
 Washington, DC 20024","1530 First Street SW, Washington, DC 20024",1530 First Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1124/MDXL_Flats,38.87122045,-77.01183513,1,1,1,1,,
Hechinger Mall Redevelopment,TBD,"1501 Maryland Avenue NE
 Washington, DC 20002","1501 Maryland Avenue NE, Washington, DC 20002",1501 Maryland Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/861/Hechinger_Mall_Redevelopment,38.9003086,-76.9817264,1,1,1,1,,
Tribeca NoMa,99,"40 N Street NE
 Washington, DC 20002","40 N Street NE, Washington, DC 20002",40 N Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/842/Tribeca_NoMa,38.90755405,-77.00714525,1,1,1,1,,
3601 M Street NW,21,"3601 M Street NW
 Washington, DC 20007","3601 M Street NW, Washington, DC 20007",3601 M Street NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/71/3601_M_Street_NW,38.905109,-77.069966,1,1,1,1,,
450 5th Street NW,500,"450 5th Street NW
 Washington, DC 20530","450 5th Street NW, Washington, DC 20530",450 5th Street NW,Washington,District of Columbia,20530,https://dc.urbanturf.com/pipeline/1251/450_5th_Street_NW,38.89547651,-77.01903502,1,1,1,1,,
Vivre,49,"1224 M Street NW
 Washington, DC 20005","1224 M Street NW, Washington, DC 20005",1224 M Street NW,Washington,District of Columbia,20005,https://dc.urbanturf.com/pipeline/893/Vivre,38.905434,-77.028958,1,1,1,1,,
Lisner-Louise Dickson-Hurt Home Senior Housing,93,"5425 Western Avenue
 Washington, DC 20015","5425 Western Avenue, Washington, DC 20015",5425 Western Avenue,Washington,District of Columbia,20015,https://dc.urbanturf.com/pipeline/988/LisnerLouise_DicksonHurt_Home_Senior_Housing,38.961973,-77.083212,0.9,1,0.9,0.9,,
Greenleaf Gardens Redevelopment,"1,410","203 N Street SW
 Washington, DC 20024","203 N Street SW, Washington, DC 20024",203 N Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/905/Greenleaf_Gardens_Redevelopment,38.87506,-77.013833,1,1,1,1,,
Intersect at O Apartments,74,"1336 8th Street NW
 Washington, DC 20001","1336 8th Street NW, Washington, DC 20001",1336 8th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1072/Intersect_at_O_Apartments,38.908286,-77.0231336,1,1,1,1,,
The Townhomes at Michigan Park,80,"12th & Wynton Street NE
 Washington, DC 20017","12th & Wynton Street NE, Washington, DC 20017",12th & Wynton Street NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/600/The_Townhomes_at_Michigan_Park,38.94423742,-76.9900945,0.27783,1,0.27783,,1,1
The Ladybird,219,"4330 48th Street NW
 Washington, DC 20016","4330 48th Street NW, Washington, DC 20016",4330 48th Street NW,Washington,District of Columbia,20016,https://dc.urbanturf.com/pipeline/497/The_Ladybird,38.9458266,-77.0954802,1,1,1,1,,
The Audra,300,"Rhode Island Ave NE & 13th Street NE
 Washington, DC 20018","Rhode Island Ave NE & 13th Street NE, Washington, DC 20018",Rhode Island Ave NE & 13th Street NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/917/The_Audra,38.92399371,-76.98829359,0.675,1,0.675,,1,1
Vela,379,"100 N St SE
 Washington, DC 20024","100 N St SE, Washington, DC 20024",100 N St SE,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1110/Vela,38.87471886,-77.00699044,1,1,1,1,,
1805 Wisconsin Avenue NW,9,"1805 Wisconsin Avenue NW
 Washington, DC 20007","1805 Wisconsin Avenue NW, Washington, DC 20007",1805 Wisconsin Avenue NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/1027/1805_Wisconsin_Avenue_NW,38.91490965,-77.0672043,1,1,1,1,,
1000 and 1050 Thomas Jefferson Street NW,335,"1000 Thomas Jefferson Street NW
 Washington, DC 20007","1000 Thomas Jefferson Street NW, Washington, DC 20007",1000 Thomas Jefferson Street NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/1177/1000_and_1050_Thomas_Jefferson_Street_NW,38.90280875,-77.06062259,1,1,1,1,,
Bond Bread Redevelopment,469,"2112-2146 Georgia Avenue NW
 Washington, DC 20001","2112-2146 Georgia Avenue NW, Washington, DC 20001",2112-2146 Georgia Avenue NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1005/Bond_Bread_Redevelopment,38.9179427,-77.02200317,0.9,1,1,0.9,,
Reverb Apartments,312,"2131 9th Street NW
 Washington, DC 20001","2131 9th Street NW, Washington, DC 20001",2131 9th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1004/Reverb_Apartments,38.91874645,-77.02368836,1,1,1,1,,
Seneca House,10,"1471 Florida Ave NW
 Washington, DC 20009","1471 Florida Ave NW, Washington, DC 20009",1471 Florida Ave NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1114/Seneca_House,38.91972595,-77.03421768,1,1,1,1,,
25 Potomac Avenue SE,590,"25 Potomac Avenue SE
 Washington, DC 20003","25 Potomac Avenue SE, Washington, DC 20003",25 Potomac Avenue SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1228/25_Potomac_Avenue_SE,38.87165373,-77.00658302,1,1,1,1,,
Congress Place,62,"1109 Congress Street NE
 Washington, DC 20002","1109 Congress Street NE, Washington, DC 20002",1109 Congress Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/827/Congress_Place,38.90419185,-77.00259205,1,1,1,1,,
Riggs Park Place,185,"325 Riggs Road NE
 Washington, DC 20011","325 Riggs Road NE, Washington, DC 20011",325 Riggs Road NE,Washington,District of Columbia,20011,https://dc.urbanturf.com/pipeline/818/Riggs_Park_Place,38.9580024,-77.0013373,1,1,1,1,,
2149 P St NW,66,"2149 P Street NW
 Washington, DC 20001","2149 P Street NW, Washington, DC 20001",2149 P Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/191/2149_P_St_NW,38.909824,-77.0482514,1,1,1,1,,
Howard Parking Lot Residences,440,"2200 block of Georgia Avenue
 Washington, DC 20001","2200 block of Georgia Avenue, Washington, DC 20001",2200 block of Georgia Avenue,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1243/Howard_Parking_Lot_Residences,38.91907923,-77.02212934,0.25,1,,,1,1
The Oliver,93,"2711 Georgia Ave NW
 Washington, DC 20001","2711 Georgia Ave NW, Washington, DC 20001",2711 Georgia Ave NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1001/The_Oliver,38.92533155,-77.02258241,1,1,1,1,,
925 5th Street NW,40,"925 5th Street NW
 Washington, DC 20001","925 5th Street NW, Washington, DC 20001",925 5th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/605/925_5th_Street_NW,38.90167914,-77.01882242,1,1,1,1,,
501 H Street NE,28,"501 H Street NE
 Washington, DC 20002","501 H Street NE, Washington, DC 20002",501 H Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/342/501_H_Street_NE,38.89995645,-76.99910515,1,1,1,1,,
The Magenta,37,"1200 Bladensburg Road NE
 Washington, DC 20002","1200 Bladensburg Road NE, Washington, DC 20002",1200 Bladensburg Road NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/928/The_Magenta,38.905564,-76.980118,1,1,1,1,,
1232 4th,98,"1232 4th Street NE
 Washington, DC 20002","1232 4th Street NE, Washington, DC 20002",1232 4th Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1076/1232_4th,38.90683168,-77.00069007,1,1,1,1,,
Crosby,187,"300 K Street NW
 Washington, DC 20024","300 K Street NW, Washington, DC 20024",300 K Street NW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1078/Crosby,38.902437,-77.015336,1,1,1,1,,
34Fifty Apartments,49,"3450 Eads Street NE
 Washington, DC 20019","3450 Eads Street NE, Washington, DC 20019",3450 Eads Street NE,Washington,District of Columbia,20019,https://dc.urbanturf.com/pipeline/615/34Fifty_Apartments,38.89564554,-76.95693369,1,1,1,1,,
Wonder Plaza Redevelopment,280,"2301 Georgia Avenue NW
 Washington, DC 20001","2301 Georgia Avenue NW, Washington, DC 20001",2301 Georgia Avenue NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1003/Wonder_Plaza_Redevelopment,38.9208176,-77.0218718,1,1,1,1,,
REVEL,500,"1005 First Street NE
 Washington, DC 20002","1005 First Street NE, Washington, DC 20002",1005 First Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/305/REVEL,38.90335815,-77.00513282,1,1,1,1,,
The Brooks,89,"6803 Cameron Drive NW
 Washington, DC 20012","6803 Cameron Drive NW, Washington, DC 20012",6803 Cameron Drive NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/723/The_Brooks,38.97290045,-77.02829766,1,1,1,1,,
The Hale,500,"1150 First Street NE
 Washington, DC 20002","1150 First Street NE, Washington, DC 20002",1150 First Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/935/The_Hale,38.90442445,-77.00652461,1,1,1,1,,
SoNYa,321,"40 Patterson Street NE
 Washington, DC 20002","40 Patterson Street NE, Washington, DC 20002",40 Patterson Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/933/SoNYa,38.90664735,-77.00770316,1,1,1,1,,
1603 Good Hope Road SE,60,"1603 Good Hope Road SE
 Washington, DC 20020","1603 Good Hope Road SE, Washington, DC 20020",1603 Good Hope Road SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/1133/1603_Good_Hope_Road_SE,38.86585515,-76.98170523,1,1,1,1,,
The Augusta,20,"3831 Georgia Avenue
 Washington, DC 20011","3831 Georgia Avenue, Washington, DC 20011",3831 Georgia Avenue,Washington,District of Columbia,20011,https://dc.urbanturf.com/pipeline/444/The_Augusta,38.93851755,-77.02431292,0.9,1,0.9,0.9,,
901 Monroe Street NE,230,"901 Monroe Street NE
 Washington, DC 20017","901 Monroe Street NE, Washington, DC 20017",901 Monroe Street NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/266/901_Monroe_Street_NE,38.932331,-76.993526,1,1,1,1,,
The Jacob,31,"633 21st Street NE
 Washington, DC 20002","633 21st Street NE, Washington, DC 20002",633 21st Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/927/The_Jacob,38.898149,-76.974067,1,1,1,1,,
Union Heights,325,"1676 Maryland Avenue NE
 Washington, DC 20002","1676 Maryland Avenue NE, Washington, DC 20002",1676 Maryland Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/12/Union_Heights,38.90180081,-76.97954408,1,1,1,1,,
eCasa,12,"1613-1633 Kramer Street NE
 Washington, DC 20002","1613-1633 Kramer Street NE, Washington, DC 20002",1613-1633 Kramer Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/644/eCasa,38.89787656,-76.98162795,0.9,1,1,0.9,,
13|U,130,"13th St NW & U Street NW
 Washington, DC 20009","13th St NW & U Street NW, Washington, DC 20009",13th St NW & U Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/243/13U,38.9171848,-77.02991936,0.567,1,0.567,,1,1
The Gantry,552,"300 Morse Street NE
 Washington, DC 20002","300 Morse Street NE, Washington, DC 20002",300 Morse Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/496/The_Gantry,38.908101,-77.000313,1,1,1,1,,
62 Forrester Street SW,12,"62 Forrester Street SW
 Washington, DC 20032","62 Forrester Street SW, Washington, DC 20032",62 Forrester Street SW,Washington,District of Columbia,20032,https://dc.urbanturf.com/pipeline/1231/62_Forrester_Street_SW,38.82509594,-77.00892357,1,1,1,1,,
1333 M Street SE,900,"1333 M Street SE
 Washington, DC 20003","1333 M Street SE, Washington, DC 20003",1333 M Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/397/1333_M_Street_SE,38.876313,-76.9871592,1,1,1,1,,
The Emery,22,"927 Kennedy St NW
 Washington, DC 20011","927 Kennedy St NW, Washington, DC 20011",927 Kennedy St NW,Washington,District of Columbia,20011,https://dc.urbanturf.com/pipeline/998/The_Emery,38.956432,-77.02686246,1,1,1,1,,
Alabama Avenue Residences,30,"2495 Alabama Avenue SE
 Washington, DC 20020","2495 Alabama Avenue SE, Washington, DC 20020",2495 Alabama Avenue SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/636/Alabama_Avenue_Residences,38.8565319,-76.969679,1,1,1,1,,
Somerset House,84,"1801 16th Street NW
 Washington, DC 20009","1801 16th Street NW, Washington, DC 20009",1801 16th Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/348/Somerset_House,38.914382,-77.036042,1,1,1,1,,
Fortitude at Delta Towers,179,"808 Bladensburg Road NE
 Washington, DC 20002","808 Bladensburg Road NE, Washington, DC 20002",808 Bladensburg Road NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/924/Fortitude_at_Delta_Towers,38.90054047,-76.98325361,1,1,1,1,,
The Residences at City Center,216,"925 H Street NW
 Washington, DC 20001","925 H Street NW, Washington, DC 20001",925 H Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/27/The_Residences_at_City_Center,38.899973,-77.024366,1,1,1,1,,
AutoZone Redevelopment,210,"1207 H Street NE
 Washington, DC 20002","1207 H Street NE, Washington, DC 20002",1207 H Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1144/AutoZone_Redevelopment,38.900119,-76.98998306,1,1,1,1,,
11th and H,54,"1101-1107 H Street NE
 Washington, DC 20002","1101-1107 H Street NE, Washington, DC 20002",1101-1107 H Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1190/11th_and_H,38.89999619,-76.99134169,0.7,1,1,0.7,,
1371 H Street NE,30,"1365-1375 H Street NE
 Washington, DC 20002","1365-1375 H Street NE, Washington, DC 20002",1365-1375 H Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/395/1371_H_Street_NE,38.89994915,-76.98616465,0.9,1,1,0.9,,
The Barker,29,"2310 4th Street NE Washington, DC 20002
 Washington, DC 20002","2310 4th Street NE Washington, DC 20002, Washington, DC 20002",2310 4th Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1061/The_Barker,38.9206243,-77.00084475,1,1,1,1,,
1818 Rhode Island Avenue,6,"1818 Rhode Island Avenue
 Washington, DC 20018","1818 Rhode Island Avenue, Washington, DC 20018",1818 Rhode Island Avenue,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/921/1818_Rhode_Island_Avenue,38.92853185,-76.9779027,0.9,1,0.9,0.9,,
2234 11th St NW,9,"2234 11th St NW
 Washington, DC 20001","2234 11th St NW, Washington, DC 20001",2234 11th St NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1049/2234_11th_St_NW,38.91976882,-77.027141,1,1,1,1,,
Mills Place Apartments,61,"1736 Rhode Island Avenue NE
 Washington, DC 20018","1736 Rhode Island Avenue NE, Washington, DC 20018",1736 Rhode Island Avenue NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/920/Mills_Place_Apartments,38.92781545,-76.9796042,1,1,1,1,,
Bailey Flats on Blagden,15,"926 N Street NW
 Washington, DC 20001","926 N Street NW, Washington, DC 20001",926 N Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/201/Bailey_Flats_on_Blagden,38.906988,-77.02513886,1,1,1,1,,
The John and Jill Ker Conway Residence,124,"1005 North Capitol Street NW
 Washington, DC 20002","1005 North Capitol Street NW, Washington, DC 20002",1005 North Capitol Street NW,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/477/The_John_and_Jill_Ker_Conway_Residence,38.9028016,-77.0091067,1,1,1,1,,
The Bixby,193,"601 L Street SE
 Washington, DC 20003","601 L Street SE, Washington, DC 20003",601 L Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/557/The_Bixby,38.87744453,-76.99762741,1,1,1,1,,
450 K,233,"450 K Street NW
 Washington, DC 20001","450 K Street NW, Washington, DC 20001",450 K Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/78/450_K,38.9023198,-77.0180591,1,1,1,1,,
1544 Rhode Island Avenue,49,"1544 Rhode Island Avenue NE
 Washington, DC 20018","1544 Rhode Island Avenue NE, Washington, DC 20018",1544 Rhode Island Avenue NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/919/1544_Rhode_Island_Avenue,38.9262631,-76.98263554,1,1,1,1,,
Big Sky Flats,108,"1400 Montana Avenue NE
 Washington, DC 20018","1400 Montana Avenue NE, Washington, DC 20018",1400 Montana Avenue NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/918/Big_Sky_Flats,38.924215,-76.985116,1,1,1,1,,
1125 15th Street NW,264,"1125 15th Street NW
 Washington, DC 20005","1125 15th Street NW, Washington, DC 20005",1125 15th Street NW,Washington,District of Columbia,20005,https://dc.urbanturf.com/pipeline/1178/1125_15th_Street_NW,38.90426701,-77.03446744,1,1,1,1,,
RIA DC,1760,"Rhode Island Avenue NE and Montana Ave NE
 Washington, DC 20018","Rhode Island Avenue NE and Montana Ave NE, Washington, DC 20018",Rhode Island Avenue NE and Montana Ave NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/602/RIA_DC,38.9243,-76.9859,0.9,1,0.9,,,
Perla,66,"810 O Street NW
 Washington, DC 20001","810 O Street NW, Washington, DC 20001",810 O Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/436/Perla,38.908433,-77.023572,1,1,1,1,,
The Exchange,27,"3619 Georgia Avenue NW
 Washington, DC 20010","3619 Georgia Avenue NW, Washington, DC 20010",3619 Georgia Avenue NW,Washington,District of Columbia,20010,https://dc.urbanturf.com/pipeline/372/The_Exchange,38.9350296,-77.0238048,1,1,1,1,,
Rowan Brookland,353,"2607 Reed Street NE
 Washington, DC 20018","2607 Reed Street NE, Washington, DC 20018",2607 Reed Street NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/916/Rowan_Brookland,38.923827,-76.9935844,1,1,1,1,,
The Residences at Eastern Market,162,"777 C Street SE
 Washington, DC 20003","777 C Street SE, Washington, DC 20003",777 C Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/46/The_Residences_at_Eastern_Market,38.88594924,-76.99532727,1,1,1,1,,
1735 K Street NW,50,"1735 K Street NW
 Washington, DC 20006","1735 K Street NW, Washington, DC 20006",1735 K Street NW,Washington,District of Columbia,20006,https://dc.urbanturf.com/pipeline/1227/1735_K_Street_NW,38.9028961,-77.0409302,1,1,1,1,,
Ward Place Redevelopment,48,"2112 Ward Place
 Washington, DC 20037","2112 Ward Place, Washington, DC 20037",2112 Ward Place,Washington,District of Columbia,20037,https://dc.urbanturf.com/pipeline/1222/Ward_Place_Redevelopment,38.9062913,-77.0481468,0.9,1,0.9,0.9,,
The Colonel,70,"1250 9th Street NW
 Washington, DC 20001","1250 9th Street NW, Washington, DC 20001",1250 9th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/208/The_Colonel,38.90691075,-77.02433481,1,1,1,1,,
AVA NoMa,438,"55 M Street NE
 Washington, DC 20002","55 M Street NE, Washington, DC 20002",55 M Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/543/AVA_NoMa,38.905457,-77.007015,1,1,1,1,,
Longfellow Building Conversion,161,"1201 Connecticut Avenue NW
 Washington, DC 20036","1201 Connecticut Avenue NW, Washington, DC 20036",1201 Connecticut Avenue NW,Washington,District of Columbia,20036,https://dc.urbanturf.com/pipeline/1208/Longfellow_Building_Conversion,38.90654273,-77.04175745,1,1,1,1,,
2100 M Street NW,400,"2100 M Street NW
 Washington, DC 20037","2100 M Street NW, Washington, DC 20037",2100 M Street NW,Washington,District of Columbia,20037,https://dc.urbanturf.com/pipeline/1221/2100_M_Street_NW,38.905496,-77.046741,1,1,1,1,,
South Cathedral Mansions,165,"2900 Connecticut Avenue NW
 Washington, DC 20008","2900 Connecticut Avenue NW, Washington, DC 20008",2900 Connecticut Avenue NW,Washington,District of Columbia,20008,https://dc.urbanturf.com/pipeline/492/South_Cathedral_Mansions,38.929121,-77.05488,1,1,1,1,,
