GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALZKE001,ALZKE002,ALZKE003,AL1LE001,AL1LE002,AL1LE003,AL1LE004,AL1LE005,AL1LE006,AL1LE007,AL1LE008,NAME_M,ALZKM001,ALZKM002,ALZKM003,AL1LM001,AL1LM002,AL1LM003,AL1LM004,AL1LM005,AL1LM006,AL1LM007,AL1LM008
"G11000100079011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007901","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010079011",,,"Block Group 1, Census Tract 79.01, District of Columbia, District of Columbia",374,332,42,89,73,21,11,10,0,52,16,"Block Group 1, Census Tract 79.01, District of Columbia, District of Columbia",104,99,34,36,37,21,17,13,12,38,25
"G11000100079012","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007901","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010079012",,,"Block Group 2, Census Tract 79.01, District of Columbia, District of Columbia",417,337,80,161,149,7,0,7,0,142,12,"Block Group 2, Census Tract 79.01, District of Columbia, District of Columbia",93,89,63,54,49,12,12,12,12,52,19
"G11000100079013","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007901","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010079013",,,"Block Group 3, Census Tract 79.01, District of Columbia, District of Columbia",500,418,82,187,150,7,0,7,0,143,37,"Block Group 3, Census Tract 79.01, District of Columbia, District of Columbia",109,97,64,62,54,13,12,13,12,53,35
"G11000100079014","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007901","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010079014",,,"Block Group 4, Census Tract 79.01, District of Columbia, District of Columbia",587,533,54,194,153,33,21,12,0,120,41,"Block Group 4, Census Tract 79.01, District of Columbia, District of Columbia",100,94,52,65,63,31,23,19,12,56,31
"G11000100079031","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007903","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010079031",,,"Block Group 1, Census Tract 79.03, District of Columbia, District of Columbia",914,785,129,512,408,52,33,19,0,356,104,"Block Group 1, Census Tract 79.03, District of Columbia, District of Columbia",19,58,52,67,58,27,19,17,12,59,42
"G11000100080011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008001","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010080011",,,"Block Group 1, Census Tract 80.01, District of Columbia, District of Columbia",361,250,111,152,152,36,0,36,0,116,0,"Block Group 1, Census Tract 80.01, District of Columbia, District of Columbia",87,79,77,74,74,36,12,36,12,63,12
"G11000100080012","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008001","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010080012",,,"Block Group 2, Census Tract 80.01, District of Columbia, District of Columbia",825,748,77,584,524,158,0,158,0,366,60,"Block Group 2, Census Tract 80.01, District of Columbia, District of Columbia",88,103,72,104,108,71,12,71,12,109,39
"G11000100080013","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008001","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010080013",,,"Block Group 3, Census Tract 80.01, District of Columbia, District of Columbia",238,238,0,172,146,26,0,26,0,120,26,"Block Group 3, Census Tract 80.01, District of Columbia, District of Columbia",72,72,12,58,55,25,12,25,12,59,22
"G11000100080021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008002","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010080021",,,"Block Group 1, Census Tract 80.02, District of Columbia, District of Columbia",598,566,32,327,276,42,0,42,0,234,51,"Block Group 1, Census Tract 80.02, District of Columbia, District of Columbia",86,84,41,69,64,28,12,28,12,57,39
"G11000100080022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008002","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010080022",,,"Block Group 2, Census Tract 80.02, District of Columbia, District of Columbia",1018,923,95,587,474,133,19,114,7,334,113,"Block Group 2, Census Tract 80.02, District of Columbia, District of Columbia",94,106,76,89,91,42,21,44,12,83,50
"G11000100081001","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010081001",,,"Block Group 1, Census Tract 81, District of Columbia, District of Columbia",411,411,0,240,196,38,0,38,3,155,44,"Block Group 1, Census Tract 81, District of Columbia, District of Columbia",71,71,12,65,63,25,12,25,7,67,35
"G11000100081002","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010081002",,,"Block Group 2, Census Tract 81, District of Columbia, District of Columbia",648,601,47,382,305,55,5,50,0,250,77,"Block Group 2, Census Tract 81, District of Columbia, District of Columbia",98,98,48,83,64,34,10,34,12,60,62
"G11000100081003","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008100","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010081003",,,"Block Group 3, Census Tract 81, District of Columbia, District of Columbia",475,439,36,197,163,22,15,7,0,141,34,"Block Group 3, Census Tract 81, District of Columbia, District of Columbia",91,89,37,53,55,24,21,12,12,58,29
"G11000100082001","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008200","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010082001",,,"Block Group 1, Census Tract 82, District of Columbia, District of Columbia",469,461,8,295,223,80,0,80,0,143,72,"Block Group 1, Census Tract 82, District of Columbia, District of Columbia",85,84,14,83,69,46,12,46,12,63,59
"G11000100082002","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008200","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010082002",,,"Block Group 2, Census Tract 82, District of Columbia, District of Columbia",1081,912,169,447,283,44,0,44,0,239,164,"Block Group 2, Census Tract 82, District of Columbia, District of Columbia",85,97,91,83,84,37,12,37,12,78,56
"G11000100083011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008301","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010083011",,,"Block Group 1, Census Tract 83.01, District of Columbia, District of Columbia",844,687,157,317,265,45,27,18,0,220,52,"Block Group 1, Census Tract 83.01, District of Columbia, District of Columbia",81,86,89,60,58,36,30,19,12,60,35
